,Sq_feet,price_per_sqr,Lat,Lng,Habitable_Rooms,EPC_Rating_Current_Num,EPC_Rating_Potential_Num,EPC_Year
Sq_feet,1.0,0.026700258882020395,-0.01647579591678926,-0.004269248601126046,0.7714428634341562,0.09634526096183155,0.1468153222117071,-0.0024354215996142603
price_per_sqr,0.026700258882020395,1.0,-0.4622478221881857,0.38726180168097546,-0.03732031434570417,-0.026555246423441915,0.07371241234612702,0.04695563032453776
Lat,-0.01647579591678926,-0.4622478221881857,1.0,-0.18516199997987257,0.03576222002780275,0.023780400775075324,-0.05401411255160385,-0.0109172970540645
Lng,-0.004269248601126046,0.38726180168097546,-0.18516199997987257,1.0,-0.03964420358419619,-0.03947644638670452,0.03858398380787851,0.006510221423264447
Habitable_Rooms,0.7714428634341562,-0.03732031434570417,0.03576222002780275,-0.03964420358419619,1.0,0.10560705928710973,0.049162895501692304,-0.014769152446021559
EPC_Rating_Current_Num,0.09634526096183155,-0.026555246423441915,0.023780400775075324,-0.03947644638670452,0.10560705928710973,1.0,0.3146666819044564,-0.1459565922711688
EPC_Rating_Potential_Num,0.1468153222117071,0.07371241234612702,-0.05401411255160385,0.03858398380787851,0.049162895501692304,0.3146666819044564,1.0,-0.20296449863637514
EPC_Year,-0.0024354215996142603,0.04695563032453776,-0.0109172970540645,0.006510221423264447,-0.014769152446021559,-0.1459565922711688,-0.20296449863637514,1.0
